exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Alternating Double Dumbbell Push Press,Novice,Shoulders,Dumbbell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Bottoms Up Push Jerk,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Cable Rope Tall Kneeling Overhead Tricep Extension,Novice,Triceps,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Alternating Double Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Double Dumbbell Push Jerk,Novice,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Unsorted*
Alternating Double Kettlebell Overhead Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Push Jerk,Novice,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Alternating Double Dumbbell Push Jerk,Novice,Shoulders,Dumbbell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Double Plate Seated Lu Raise,Novice,Shoulders,Weight Plate,Seated,Double Arm,Continuous,Other,Continuous,No Elevation,Single Exercise,Shoulder Abduction,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Double Kettlebell Bottoms Up Floor Press,Novice,Chest,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Floor Press,Novice,Chest,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Floor Press,Novice,Chest,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Trap Bar Bent Over Row,Novice,Back,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Pendlay Row,Novice,Back,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Trap Bar Shrug,Novice,Trapezius,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Scapular Elevation,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Bodyweight Tuck L Sit,Advanced,Abdominals,Bodyweight,Tuck L Sit,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette Straddle L Sit,Advanced,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Ring Turned Out L Sit,Expert,Abdominals,Gymnastic Rings,L Sit,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Battle Rope Power Slam,Novice,Abdominals,Battle Ropes,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Other,Compound,Bilateral,Unsorted*
Bodyweight Manna ,Grand Master,Abdominals,Bodyweight,Other,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Unsorted*,Compound,Bilateral,Unsorted*
Ring Tuck Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Advanced Tuck Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Straddle Back Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Half Lay Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Single Leg Out Back Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Unilateral,Calisthenics
Ring Full Back Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Trap Bar Floor Press,Novice,Chest,Trap Bar,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Overhead Press,Novice,Shoulders,Trap Bar,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Ring Handstand Lower to Back Lever,Master,Abdominals,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Continuous,No Elevation,Combo Exercise,Isometric Hold,Unsorted*,Unsorted*,Compound,Bilateral,Calisthenics
Ring Tuck Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Advanced Tuck Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Straddle Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Half Lay Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Single Leg Out Front Lever,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Unilateral,Calisthenics
Ring Full Front Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Front Lever Pull to Inverted Hang,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Inverted Hang,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Single Arm Barbell Kneeling Rollout,Expert,Abdominals,Barbell,Kneeling,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Unsorted*
Single Arm Barbell Standing Rollout,Master,Abdominals,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Unsorted*
Ring Circle Front Lever,Expert,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Trap Bar Tall Kneeling Overhead Press,Novice,Shoulders,Trap Bar,Tall Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Trap Bar Bench Press,Novice,Chest,Trap Bar,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Z Press,Novice,Shoulders,Dumbbell,Seated Floor,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,Novice,Shoulders,Dumbbell,Half Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Ipsilateral,Bodybuilding
Double Dumbbell Half Kneeling Overhead Press,Novice,Shoulders,Dumbbell,Half Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Tall Kneeling Overhead Press,Novice,Shoulders,Dumbbell,Tall Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Tall Kneeling Overhead Press,Novice,Shoulders,Dumbbell,Tall Kneeling,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Half Kneeling Overhead Press,Novice,Shoulders,Dumbbell,Half Kneeling,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Tall Kneeling Overhead Press,Novice,Shoulders,Dumbbell,Tall Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Plate Incline Bench Prone Y Raise,Novice,Shoulders,Weight Plate,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Pull,Pull,Bilateral,Postural
Single Arm Kettlebell Pendlay Row,Novice,Back,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Barbell Floor Press,Novice,Chest,Barbell,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Ring Plank,Novice,Abdominals,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Calisthenics
Single Arm Ring Plank,Intermediate,Abdominals,Gymnastic Rings,Prone,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Unilateral,Calisthenics
Battle Rope Alternating Outward Circle,Novice,Shoulders,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Other,Compound,Unilateral,Unsorted*
Battle Rope Alternating Inward Circle,Novice,Shoulders,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Other,Compound,Unilateral,Unsorted*
Ring Support Hold,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Side Plank,Advanced,Abdominals,Gymnastic Rings,Side Plank,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Barbell Reverse Grip Bent Over Row,Novice,Back,Barbell,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Macebell Offset Bent Over Row,Novice,Back,Macebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Macebell Reverse Grip Offset Bent Over Row,Novice,Back,Macebell,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Alternating Single Arm Kettlebell Pendlay Row,Novice,Back,Kettlebell,Standing,Single Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Bodyweight Hollow Body Rock ,Intermediate,Abdominals,Bodyweight,Supine,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Power Snatch,Intermediate,Glutes,Dumbbell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Alternating Single Arm Dumbbell Power Snatch,Intermediate,Glutes,Dumbbell,Standing,Single Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Single Arm Dumbbell Squat Snatch,Intermediate,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Alternating Single Arm Dumbbell Squat Snatch,Intermediate,Quadriceps,Dumbbell,Standing,Single Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Single Arm Cable Single Leg Romanian Deadlift,Intermediate,Hamstrings,Cable,Single Leg Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Cyclist Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Suitcase Cyclist Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Step Up,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Incline Bench Prone Row,Novice,Back,Kettlebell,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Prone,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Prone,Single Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Double Kettlebell Spider Curl,Novice,Biceps,Kettlebell,Prone,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Seated Good Morning,Novice,Back,Dumbbell,Seated,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Unsorted*,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Hip Thrust,Beginner,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Double Kettlebell Front Rack Box Pistol Squat,Intermediate,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Balance
Alternating Double Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Incline Bench Press,Novice,Chest,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Incline Bench Prone Row,Novice,Back,Kettlebell,Prone,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Incline Bench Prone Row,Novice,Back,Kettlebell,Prone,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Ring Side Plank Reach Through,Expert,Abdominals,Gymnastic Rings,Side Plank,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Dumbbell,Single Leg Supported,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Rear),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Kettlebell Suitcase Step Up,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Step Up,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Step Up,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Step Up,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Step Up,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Overhead Step Up,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Step Up,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Step Up,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Step Up,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Step Up,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Kettlebell Half Kneeling Low to High Chop,Intermediate,Abdominals,Kettlebell,Half Kneeling,Double Arm,Continuous,Horn Grip,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Windmill,Intermediate,Abdominals,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Grinds
Kettlebell Russian Twist,Novice,Abdominals,Kettlebell,Seated Floor,Double Arm,Continuous,Horn Grip,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Alternating Single Arm Kettlebell Plank Pull Through,Intermediate,Abdominals,Kettlebell,Prone,Single Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,Intermediate,Abdominals,Kettlebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Midsection,Other,Compound,Unilateral,Balance
Single Arm Kettlebell Swing,Novice,Glutes,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Suitcase Feet Elevated Calf Raise,Novice,Calves,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,Toes Elevated,Single Exercise,Ankle Plantar Flexion,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Kettlebell Spider Curl,Novice,Biceps,Kettlebell,Prone,Single Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Suitcase Deadlift,Novice,Back,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Full Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Dumbbell Pendlay Row,Novice,Back,Dumbbell,Standing,Single Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Alternating,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Snatch,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Hinge,Full Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Turkish Get Up,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Full Body,Other,Compound,Unilateral,Grinds
Kettlebell Goblet Squat,Beginner,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Unsorted*
Single Arm Kettlebell Overhead Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Unsorted*
Double Kettlebell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Double Kettlebell Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
